feature,importance,abs_importance
enc_808,0.0,0.0
enc_807,0.0,0.0
enc_806,0.0,0.0
enc_815,0.0,0.0
enc_2,0.0,0.0
enc_1,0.0,0.0
enc_0,0.0,0.0
rndgroup_2,0.0,0.0
rndgroup_1,0.0,0.0
race_99,0.0,0.0
race_6,0.0,0.0
race_5,0.0,0.0
enc_395,0.0,0.0
race_3,0.0,0.0
race_2,0.0,0.0
race_1,0.0,0.0
lc_topog_C38.3,0.0,0.0
lc_topog_C34.9,0.0,0.0
lc_topog_C34.8,0.0,0.0
lc_topog_C34.3,0.0,0.0
lc_topog_C34.2,0.0,0.0
lc_topog_C34.1,0.0,0.0
race_4,0.0,0.0
enc_21,0.0,0.0
enc_20,0.0,0.0
enc_19,0.0,0.0
enc_18,0.0,0.0
enc_17,0.0,0.0
enc_16,0.0,0.0
enc_15,0.0,0.0
enc_14,0.0,0.0
enc_3,0.0,0.0
enc_12,0.0,0.0
enc_11,0.0,0.0
enc_10,0.0,0.0
enc_9,0.0,0.0
enc_8,0.0,0.0
enc_7,0.0,0.0
enc_6,0.0,0.0
enc_5,0.0,0.0
enc_4,0.0,0.0
enc_13,0.0,0.0
de_type_8550.0,0.0,0.0
de_type_8260.0,0.0,0.0
de_type_8252.0,0.0,0.0
de_type_8246.0,0.0,0.0
de_type_8140.0,0.0,0.0
de_type_8071.0,0.0,0.0
de_type_8046.0,0.0,0.0
de_type_8041.0,0.0,0.0
lc_topog_C34.0,0.0,0.0
de_type_8012.0,0.0,0.0
de_type_8010.0,0.0,0.0
de_type_8000.0,0.0,0.0
treat_4,0.0,0.0
treat_3,0.0,0.0
treatnum_488,0.0,0.0
treatnum_406,0.0,0.0
treatnum_402,0.0,0.0
treatnum_401,0.0,0.0
de_type_8013.0,0.0,0.0
lc_morph_Other,0.0,0.0
lc_morph_8560,0.0,0.0
lc_morph_8550,0.0,0.0
lc_morph_8252,0.0,0.0
lc_morph_8250,0.0,0.0
lc_morph_8246,0.0,0.0
lc_morph_8140,0.0,0.0
lc_morph_8071,0.0,0.0
lc_morph_8046,0.0,0.0
de_type_8560.0,0.0,0.0
lc_morph_8041,0.0,0.0
lc_morph_8013,0.0,0.0
lc_morph_8012,0.0,0.0
lc_morph_8010,0.0,0.0
lc_morph_8000,0.0,0.0
gender_2,0.0,0.0
gender_1,0.0,0.0
de_type_Other,0.0,0.0
de_type_Missing,0.0,0.0
lc_morph_8042,0.0,0.0
enc_79,0.0,0.0
enc_78,0.0,0.0
enc_77,0.0,0.0
enc_76,0.0,0.0
enc_75,0.0,0.0
enc_74,0.0,0.0
enc_73,0.0,0.0
enc_72,0.0,0.0
enc_22,0.0,0.0
enc_70,0.0,0.0
enc_69,0.0,0.0
enc_68,0.0,0.0
enc_67,0.0,0.0
enc_66,0.0,0.0
enc_65,0.0,0.0
enc_64,0.0,0.0
enc_63,0.0,0.0
enc_62,0.0,0.0
enc_71,0.0,0.0
enc_98,0.0,0.0
enc_97,0.0,0.0
enc_96,0.0,0.0
enc_95,0.0,0.0
enc_94,0.0,0.0
enc_93,0.0,0.0
enc_92,0.0,0.0
enc_91,0.0,0.0
enc_80,0.0,0.0
enc_89,0.0,0.0
enc_88,0.0,0.0
enc_87,0.0,0.0
enc_86,0.0,0.0
enc_85,0.0,0.0
enc_84,0.0,0.0
enc_83,0.0,0.0
enc_82,0.0,0.0
enc_81,0.0,0.0
enc_90,0.0,0.0
enc_40,0.0,0.0
enc_39,0.0,0.0
enc_38,0.0,0.0
enc_37,0.0,0.0
enc_36,0.0,0.0
enc_35,0.0,0.0
enc_34,0.0,0.0
enc_33,0.0,0.0
enc_61,0.0,0.0
enc_31,0.0,0.0
enc_30,0.0,0.0
enc_29,0.0,0.0
enc_28,0.0,0.0
enc_27,0.0,0.0
enc_26,0.0,0.0
enc_25,0.0,0.0
enc_24,0.0,0.0
enc_23,0.0,0.0
enc_32,0.0,0.0
enc_60,0.0,0.0
enc_59,0.0,0.0
enc_58,0.0,0.0
enc_57,0.0,0.0
enc_56,0.0,0.0
enc_55,0.0,0.0
enc_54,0.0,0.0
enc_53,0.0,0.0
enc_52,0.0,0.0
enc_41,0.0,0.0
enc_50,0.0,0.0
enc_49,0.0,0.0
enc_48,0.0,0.0
enc_47,0.0,0.0
enc_46,0.0,0.0
enc_45,0.0,0.0
enc_44,0.0,0.0
enc_43,0.0,0.0
enc_42,0.0,0.0
enc_51,0.0,0.0
diagtube,0.0,0.0
diagsili,0.0,0.0
diagsarc,0.0,0.0
diagpneu,0.0,0.0
diaghype,0.0,0.0
diagfibr,0.0,0.0
diagemph,0.0,0.0
diagdiab,0.0,0.0
treatnum_299,0.0,0.0
diagchro,0.0,0.0
diagchas,0.0,0.0
diagbron,0.0,0.0
diagasbe,0.0,0.0
diagadas,0.0,0.0
num_confirmed,0.0,0.0
wrksand,0.0,0.0
wrkhard,0.0,0.0
wrkfoun,0.0,0.0
diagcopd,0.0,0.0
progsite_adrenal_ever,0.0,0.0
famsister,0.0,0.0
fammother,0.0,0.0
famfather,0.0,0.0
famchild,0.0,0.0
fambrother,0.0,0.0
canctran,0.0,0.0
cancthyr,0.0,0.0
cancblad,0.0,0.0
cancoral,0.0,0.0
cancnasa,0.0,0.0
canclung,0.0,0.0
canclary,0.0,0.0
canckidn,0.0,0.0
cancesop,0.0,0.0
canccolo,0.0,0.0
canccerv,0.0,0.0
cancbrea,0.0,0.0
cancstom,0.0,0.0
enc_1002,0.0,0.0
enc_1001,0.0,0.0
enc_1000,0.0,0.0
pipe,0.0,0.0
enc_998,0.0,0.0
enc_997,0.0,0.0
enc_996,0.0,0.0
enc_995,0.0,0.0
weight,0.0,0.0
enc_993,0.0,0.0
enc_992,0.0,0.0
educat,0.0,0.0
age,0.0,0.0
enc_1023,0.0,0.0
enc_991,0.0,0.0
enc_999,0.0,0.0
wrkflou,0.0,0.0
enc_967,0.0,0.0
enc_994,0.0,0.0
enc_1022,0.0,0.0
enc_1021,0.0,0.0
enc_1020,0.0,0.0
enc_1019,0.0,0.0
enc_1018,0.0,0.0
enc_1017,0.0,0.0
enc_1016,0.0,0.0
enc_1015,0.0,0.0
enc_1014,0.0,0.0
enc_1003,0.0,0.0
enc_1012,0.0,0.0
enc_1011,0.0,0.0
enc_1010,0.0,0.0
enc_1009,0.0,0.0
enc_1008,0.0,0.0
enc_1007,0.0,0.0
enc_1006,0.0,0.0
enc_1005,0.0,0.0
enc_1004,0.0,0.0
enc_1013,0.0,0.0
treatnum_103,0.0,0.0
treatnum_101,0.0,0.0
comp_code_56,0.0,0.0
comp_code_55,0.0,0.0
comp_code_54,0.0,0.0
comp_code_52,0.0,0.0
comp_code_50,0.0,0.0
comp_code_48,0.0,0.0
progsite_bone_ever,0.0,0.0
comp_code_45,0.0,0.0
comp_code_42,0.0,0.0
comp_code_41,0.0,0.0
comp_code_40,0.0,0.0
comp_code_37,0.0,0.0
comp_code_36,0.0,0.0
comp_code_35,0.0,0.0
comp_code_33,0.0,0.0
comp_code_32,0.0,0.0
comp_code_47,0.0,0.0
treatnum_288,0.0,0.0
treatnum_216,0.0,0.0
treatnum_215,0.0,0.0
treatnum_214,0.0,0.0
treatnum_213,0.0,0.0
treatnum_212,0.0,0.0
