PID,embedding
127400,"[-0.07163718 -0.00998223  0.02526815 ...  0.02505649 -0.04139544
 -0.02099693]"
118248,"[-0.06744406 -0.02959174  0.00915181 ...  0.0031123  -0.01538092
 -0.0549749 ]"
123123,"[-0.04707127 -0.02417871  0.00982371 ...  0.02015677 -0.02068854
 -0.02384215]"
106286,"[-0.03932343 -0.01769128  0.01662964 ...  0.02701905 -0.01547811
 -0.01658815]"
109345,"[-0.03673199 -0.02138675  0.01174248 ...  0.00171451  0.0298964
 -0.03014203]"
113103,"[-0.05702094 -0.00793006  0.01965499 ...  0.00202634 -0.00355881
 -0.03231758]"
127890,"[-0.05316044 -0.02001709  0.0321634  ...  0.00409655  0.01766266
 -0.03174276]"
113952,"[-0.04315378 -0.0307521   0.00611232 ... -0.00142353 -0.00766391
 -0.03323643]"
124533,"[-0.07146958 -0.02624132  0.01169033 ... -0.01998327  0.00080909
 -0.02128922]"
115520,"[-0.04989596 -0.01587357  0.00800792 ... -0.0005847  -0.03563154
 -0.03175061]"
112575,"[-0.0619208  -0.00634802  0.03934726 ...  0.04165794 -0.00978349
 -0.03447089]"
102806,"[-0.04657868 -0.00541364 -0.0096613  ... -0.0010356  -0.00741273
 -0.04502841]"
107561,"[-1.9888040e-02 -4.4275355e-03  1.7264405e-02 ...  2.4884801e-02
 -1.5737704e-05 -7.6161808e-04]"
112073,"[-0.05454354 -0.02436285  0.02099453 ...  0.00378846  0.01211978
 -0.02427072]"
121999,"[-0.06303079  0.00637541 -0.00103523 ...  0.00707395 -0.00763171
 -0.04237368]"
120701,"[-0.06109174 -0.01099222  0.01339512 ...  0.01600523  0.01463953
 -0.03805501]"
112289,"[-0.04319285 -0.00382884  0.0128244  ...  0.0188287  -0.03875454
 -0.03342002]"
104960,"[-0.04231182 -0.04462778  0.01480813 ...  0.01194244 -0.00197905
 -0.00957178]"
116798,"[-0.05494477 -0.03431568  0.00144314 ... -0.00539208 -0.03087818
 -0.03447399]"
126244,"[-0.05147543 -0.00113235  0.00501704 ...  0.00570505 -0.0062187
 -0.01537017]"
111221,"[-0.07153738 -0.01082926  0.00467257 ...  0.00127011 -0.00647645
 -0.02544581]"
121895,"[-0.0656472  -0.00289738  0.00710991 ... -0.00388293 -0.01544247
 -0.03674965]"
110817,"[-0.04811523  0.00166016  0.00792009 ...  0.03221919 -0.02229834
 -0.02372492]"
106364,"[-0.04498626  0.00393045 -0.00682439 ...  0.00575477 -0.01603126
 -0.03516781]"
104248,"[-0.05903153 -0.01255527  0.00907948 ...  0.01256861 -0.03062779
 -0.02726784]"
102267,"[-0.07005766 -0.03564998  0.00601947 ...  0.00451838 -0.01777543
 -0.01773689]"
102746,"[-0.05849243 -0.03241347  0.00491975 ...  0.01821761 -0.0187473
 -0.04220304]"
100012,"[-0.05454664 -0.00361695  0.02575823 ...  0.03311731 -0.00011585
 -0.03997657]"
107151,"[-0.03998091 -0.01226158  0.01849329 ...  0.00357001 -0.0281794
 -0.02507654]"
108670,"[-0.06899946 -0.03200907  0.01262073 ... -0.00230491 -0.00962157
 -0.03401038]"
106498,"[-0.04544081  0.00445336  0.01182033 ...  0.02817706  0.02676632
 -0.0338183 ]"
111454,"[-0.04782712 -0.01085511  0.00400316 ...  0.00552529 -0.02355305
 -0.0373848 ]"
101066,"[-0.07181323 -0.00817836 -0.00626309 ...  0.02198056 -0.00345619
 -0.04343643]"
105540,"[-0.05232202 -0.00323613 -0.00701729 ...  0.02145661  0.00014235
 -0.01999108]"
121004,"[-0.05718059 -0.01998682 -0.00661552 ...  0.01098959  0.01482763
 -0.03399459]"
101068,"[-0.04847314 -0.02003951  0.02699237 ...  0.0090234   0.03536168
 -0.03129549]"
128156,"[-0.07008231 -0.00516995 -0.01194502 ... -0.0046161   0.00233542
 -0.05330636]"
118560,"[-0.05138824 -0.0023083   0.00014929 ... -0.00143543 -0.00633108
 -0.02774233]"
114746,"[-0.08148912 -0.02408808  0.01166155 ... -0.00199427 -0.0021044
 -0.00425432]"
105340,"[-0.03385565 -0.00809368  0.01728703 ...  0.01201147 -0.01407808
 -0.03024731]"
121893,"[-0.04165507  0.00531242  0.01797944 ...  0.02028782 -0.00058745
 -0.03967662]"
104999,"[-0.07043657 -0.0073155   0.01744961 ...  0.01779286 -0.02570492
 -0.02366365]"
100913,"[-0.05216758 -0.01076034  0.01693414 ...  0.00561126  0.00364947
 -0.02793064]"
